Time,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
36:47.6,0.133333,0.4,0.782609,0.575,0.242424,0.644068,0.428571,0.2,0.815789,0.5,0.172727,0.214286,0.384615,0.454545
36:47.6,0.133333,0.4,0.782609,0.575,0.242424,0.644068,0.428571,0.2,0.815789,0.461538,0.181818,0.214286,0.384615,0.454545
36:47.6,0.133333,0.4,0.826087,0.575,0.242424,0.644068,0.428571,0.2,0.815789,0.461538,0.181818,0.214286,0.423077,0.454545
36:47.6,0.133333,0.4,0.869565,0.575,0.242424,0.644068,0.428571,0.188889,0.833333,0.461538,0.181818,0.214286,0.423077,0.5
36:47.6,0.066667,0.4,0.869565,0.575,0.242424,0.661017,0.428571,0.177778,0.833333,0.5,0.181818,0.25,0.461538,0.5
36:47.6,0.066667,0.4,0.869565,0.575,0.242424,0.661017,0.357143,0.177778,0.842105,0.5,0.181818,0.25,0.461538,0.5
36:47.6,0.066667,0.4,0.869565,0.575,0.242424,0.661017,0.428571,0.166667,0.850877,0.5,0.181818,0.25,0.5,0.545455
36:47.6,0.066667,0.4,0.869565,0.575,0.25,0.661017,0.428571,0.177778,0.850877,0.5,0.181818,0.25,0.461538,0.5
36:47.6,0.066667,0.6,0.869565,0.575,0.25,0.661017,0.357143,0.166667,0.850877,0.5,0.172727,0.25,0.461538,0.545455
36:47.6,0.066667,0.4,0.869565,0.6,0.242424,0.694915,0.428571,0.155556,0.850877,0.5,0.172727,0.25,0.461538,0.545455
36:47.6,0.066667,0.4,0.826087,0.625,0.234848,0.728814,0.428571,0.155556,0.850877,0.5,0.172727,0.25,0.461538,0.545455
36:47.6,0.066667,0.4,0.782609,0.65,0.234848,0.762712,0.428571,0.155556,0.850877,0.5,0.172727,0.25,0.461538,0.545455
36:47.6,0.066667,0.4,0.782609,0.725,0.227273,0.762712,0.5,0.177778,0.885965,0.538462,0.172727,0.25,0.461538,0.5
36:47.6,0.066667,0.4,0.782609,0.725,0.227273,0.813559,0.5,0.166667,0.894737,0.538462,0.172727,0.25,0.461538,0.545455
36:47.6,0.133333,0.4,0.73913,0.75,0.227273,0.830508,0.5,0.166667,0.903509,0.538462,0.181818,0.25,0.423077,0.5
36:47.6,0.133333,0.4,0.73913,0.775,0.219697,0.830508,0.5,0.166667,0.912281,0.538462,0.181818,0.285714,0.423077,0.5
36:47.6,0.133333,0.4,0.73913,0.775,0.212121,0.830508,0.5,0.166667,0.903509,0.538462,0.181818,0.25,0.423077,0.5
36:47.6,0.133333,0.4,0.782609,0.75,0.219697,0.79661,0.5,0.188889,0.894737,0.615385,0.181818,0.25,0.423077,0.5
36:47.6,0.133333,0.4,0.782609,0.75,0.212121,0.779661,0.5,0.2,0.894737,0.538462,0.190909,0.25,0.423077,0.5
36:47.6,0.066667,0.4,0.782609,0.725,0.219697,0.762712,0.5,0.188889,0.885965,0.538462,0.190909,0.25,0.423077,0.5
36:47.6,0.066667,0.4,0.782609,0.725,0.219697,0.762712,0.5,0.188889,0.877193,0.538462,0.190909,0.25,0.423077,0.5
36:47.6,0.066667,0.4,0.826087,0.675,0.219697,0.745763,0.5,0.2,0.877193,0.538462,0.181818,0.25,0.423077,0.5
36:47.6,0.133333,0.4,0.826087,0.6,0.219697,0.711864,0.5,0.188889,0.859649,0.538462,0.181818,0.214286,0.423077,0.5
36:47.6,0.133333,0.4,0.826087,0.575,0.25,0.728814,0.5,0.177778,0.850877,0.538462,0.181818,0.214286,0.461538,0.5
36:47.6,0.133333,0.4,0.826087,0.55,0.242424,0.711864,0.428571,0.188889,0.842105,0.538462,0.181818,0.214286,0.461538,0.5
36:47.7,0.133333,0.4,0.826087,0.55,0.25,0.694915,0.428571,0.188889,0.833333,0.538462,0.181818,0.214286,0.423077,0.5
36:47.7,0.133333,0.4,0.826087,0.55,0.25,0.694915,0.428571,0.188889,0.824561,0.5,0.181818,0.25,0.423077,0.545455
36:47.7,0.133333,0.4,0.826087,0.55,0.25,0.694915,0.428571,0.2,0.815789,0.5,0.181818,0.25,0.384615,0.545455
36:47.7,0.133333,0.4,0.869565,0.525,0.257576,0.694915,0.428571,0.211111,0.780702,0.5,0.172727,0.285714,0.346154,0.545455
36:47.7,0.133333,0.4,0.869565,0.525,0.257576,0.694915,0.428571,0.211111,0.754386,0.538462,0.172727,0.321429,0.346154,0.545455
36:47.7,0.133333,0.4,0.826087,0.5,0.272727,0.677966,0.428571,0.233333,0.701754,0.538462,0.163636,0.392857,0.346154,0.590909
36:47.7,0.133333,0.6,0.782609,0.5,0.272727,0.677966,0.428571,0.244444,0.701754,0.538462,0.154545,0.392857,0.307692,0.590909
36:47.7,0.133333,0.4,0.782609,0.5,0.280303,0.677966,0.428571,0.255556,0.692982,0.576923,0.163636,0.428571,0.307692,0.590909
36:47.7,0.133333,0.6,0.782609,0.475,0.272727,0.694915,0.428571,0.255556,0.701754,0.615385,0.163636,0.464286,0.307692,0.636364
36:47.7,0.133333,0.6,0.782609,0.525,0.272727,0.677966,0.428571,0.277778,0.692982,0.653846,0.154545,0.464286,0.307692,0.636364
36:47.7,0.133333,0.6,0.782609,0.525,0.265152,0.694915,0.357143,0.288889,0.675439,0.576923,0.154545,0.464286,0.269231,0.636364
36:47.7,0.133333,0.6,0.73913,0.55,0.25,0.677966,0.357143,0.3,0.640351,0.576923,0.154545,0.5,0.269231,0.636364
36:47.7,0.133333,0.6,0.73913,0.525,0.25,0.677966,0.357143,0.3,0.622807,0.576923,0.145455,0.535714,0.269231,0.636364
36:47.7,0.133333,0.6,0.782609,0.525,0.25,0.677966,0.357143,0.311111,0.614035,0.576923,0.145455,0.5,0.269231,0.681818
36:47.7,0.133333,0.4,0.782609,0.5,0.242424,0.694915,0.428571,0.311111,0.605263,0.576923,0.145455,0.5,0.230769,0.681818
36:47.7,0.133333,0.4,0.73913,0.5,0.242424,0.694915,0.357143,0.311111,0.596491,0.576923,0.145455,0.5,0.269231,0.636364
36:47.7,0.133333,0.4,0.782609,0.5,0.242424,0.694915,0.357143,0.311111,0.587719,0.576923,0.145455,0.464286,0.230769,0.681818
36:47.7,0.066667,0.4,0.73913,0.475,0.242424,0.677966,0.357143,0.311111,0.570175,0.538462,0.136364,0.464286,0.230769,0.681818
36:47.7,0.133333,0.4,0.782609,0.475,0.242424,0.661017,0.357143,0.322222,0.552632,0.538462,0.136364,0.5,0.230769,0.681818
36:47.7,0.133333,0.4,0.73913,0.45,0.242424,0.644068,0.285714,0.344444,0.517544,0.5,0.127273,0.464286,0.230769,0.681818
36:47.7,0.133333,0.4,0.73913,0.425,0.242424,0.644068,0.285714,0.355556,0.473684,0.5,0.118182,0.464286,0.230769,0.681818
36:47.7,0.133333,0.4,0.73913,0.425,0.234848,0.610169,0.285714,0.366667,0.438596,0.5,0.118182,0.464286,0.192308,0.681818
36:47.7,0.133333,0.4,0.695652,0.425,0.234848,0.59322,0.214286,0.355556,0.394737,0.5,0.118182,0.464286,0.192308,0.727273
36:47.7,0.133333,0.4,0.73913,0.4,0.242424,0.59322,0.214286,0.366667,0.359649,0.5,0.118182,0.5,0.192308,0.727273
36:47.7,0.133333,0.4,0.73913,0.375,0.234848,0.576271,0.214286,0.377778,0.324561,0.5,0.127273,0.5,0.153846,0.727273
36:47.7,0.133333,0.4,0.73913,0.375,0.242424,0.542373,0.214286,0.377778,0.280702,0.538462,0.136364,0.5,0.153846,0.727273
36:47.7,0.066667,0.4,0.73913,0.375,0.242424,0.542373,0.142857,0.377778,0.27193,0.538462,0.136364,0.535714,0.115385,0.727273
36:47.7,0.133333,0.4,0.695652,0.375,0.242424,0.542373,0.214286,0.377778,0.254386,0.538462,0.154545,0.535714,0.153846,0.727273
36:47.7,0.133333,0.4,0.695652,0.375,0.242424,0.542373,0.142857,0.377778,0.245614,0.576923,0.172727,0.571429,0.153846,0.727273
36:47.7,0.133333,0.4,0.695652,0.35,0.25,0.559322,0.142857,0.377778,0.210526,0.615385,0.190909,0.607143,0.115385,0.727273
36:47.8,0.133333,0.2,0.695652,0.35,0.25,0.559322,0.142857,0.366667,0.210526,0.653846,0.227273,0.642857,0.115385,0.727273
36:47.8,0.133333,0.4,0.695652,0.375,0.257576,0.559322,0.142857,0.355556,0.210526,0.653846,0.254545,0.678571,0.115385,0.772727
36:47.8,0.133333,0.4,0.695652,0.375,0.25,0.576271,0.214286,0.355556,0.210526,0.692308,0.254545,0.714286,0.115385,0.772727
36:47.8,0.133333,0.4,0.695652,0.375,0.25,0.576271,0.142857,0.355556,0.210526,0.653846,0.245455,0.714286,0.115385,0.772727
36:47.8,0.133333,0.4,0.695652,0.375,0.25,0.576271,0.142857,0.355556,0.219298,0.653846,0.236364,0.678571,0.076923,0.818182
36:47.8,0.133333,0.4,0.695652,0.4,0.25,0.559322,0.214286,0.366667,0.22807,0.615385,0.236364,0.678571,0.115385,0.863636
36:47.8,0.133333,0.4,0.695652,0.4,0.242424,0.559322,0.214286,0.355556,0.236842,0.615385,0.218182,0.642857,0.153846,0.772727
36:47.8,0.133333,0.4,0.73913,0.4,0.242424,0.559322,0.214286,0.355556,0.263158,0.576923,0.209091,0.607143,0.192308,0.727273
36:47.8,0.133333,0.4,0.73913,0.4,0.242424,0.559322,0.214286,0.355556,0.289474,0.538462,0.2,0.607143,0.192308,0.727273
36:47.8,0.066667,0.4,0.73913,0.4,0.234848,0.542373,0.214286,0.333333,0.359649,0.461538,0.2,0.464286,0.230769,0.681818
36:47.8,0.133333,0.4,0.782609,0.4,0.227273,0.542373,0.214286,0.333333,0.403509,0.423077,0.190909,0.428571,0.269231,0.636364
36:47.8,0.066667,0.4,0.782609,0.4,0.227273,0.542373,0.214286,0.322222,0.447368,0.423077,0.190909,0.392857,0.307692,0.636364
36:47.8,0.066667,0.2,0.826087,0.425,0.227273,0.542373,0.214286,0.311111,0.491228,0.461538,0.190909,0.321429,0.346154,0.545455
36:47.8,0.066667,0.2,0.826087,0.425,0.227273,0.542373,0.214286,0.3,0.526316,0.461538,0.181818,0.25,0.346154,0.5
36:47.8,0.066667,0.4,0.826087,0.45,0.219697,0.542373,0.214286,0.277778,0.587719,0.423077,0.172727,0.178571,0.384615,0.454545
36:47.8,0.066667,0.2,0.869565,0.475,0.219697,0.542373,0.214286,0.277778,0.614035,0.423077,0.163636,0.142857,0.384615,0.409091
36:47.8,0.066667,0.4,0.826087,0.45,0.219697,0.542373,0.214286,0.266667,0.622807,0.423077,0.163636,0.142857,0.384615,0.409091
36:47.8,0.066667,0.4,0.826087,0.45,0.227273,0.542373,0.214286,0.266667,0.631579,0.423077,0.163636,0.142857,0.384615,0.409091
36:47.8,0.066667,0.2,0.826087,0.45,0.227273,0.542373,0.214286,0.266667,0.649123,0.423077,0.172727,0.071429,0.423077,0.363636
